harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,kamar_tidur_art,kamar_mandi_art
675000,  Balikpapan Utara,110.0,110.0,SHM,Semi-furnished,2,1,1300.0,0,0
1150000,  Balikpapan Utara,240.0,200.0,SHM,Fully-furnished,6,4,1300.0,0,0
1200000,  Balikpapan Selatan,200.0,150.0,SHM,Non-furnished,4,3,2200.0,0,0
2250000,  Balikpapan Selatan,144.0,138.0,SHM,Non-furnished,3,2,3500.0,1,1
2570000,  Damai,160.0,160.0,HGB,Non-furnished,4,3,4400.0,0,0
2200000,  Balikpapan Utara,200.0,204.0,SHM,Non-furnished,5,3,2200.0,0,0
1500000,  Balikpapan Utara,47.0,72.0,SHM,Fully-furnished,2,1,2200.0,0,0
2500000,  Balikpapan Selatan,116.0,227.0,HGB,Fully-furnished,3,2,1300.0,1,1
1200000,  Kariangau,276.0,318.0,SHM,Non-furnished,3,2,2200.0,0,0
2089999,  Gunung Bahagia,120.0,126.0,HGB,Non-furnished,3,3,2200.0,1,1
380000,  Lamaru,40.0,80.0,SHM,Non-furnished,2,1,1300.0,0,0
800000,  Balikpapan Selatan,36.0,36.0,SHM,Non-furnished,3,2,2200.0,0,0
675000,  Balikpapan Tengah,145.0,157.0,SHM,Non-furnished,5,2,900.0,0,0
6500000,  Balikpapan Tengah,200.0,516.0,SHM,Non-furnished,9,4,1300.0,0,0
2250000,  Balikpapan Selatan,144.0,138.0,SHM,Non-furnished,3,3,2200.0,1,1
1200000,  Balikpapan Utara,47.0,72.0,PPJB,Non-furnished,2,2,1300.0,0,0
2100000,  Gunung Bahagia,280.0,144.0,SHM,Non-furnished,4,2,2200.0,0,0
1600000,  Balikpapan Utara,140.0,200.0,SHM,Semi-furnished,3,2,3500.0,1,1
2300000,  Balikpapan Utara,243.0,250.0,SHM,Semi-furnished,6,2,1300.0,0,0
2530000,  Balikpapan Tengah,80.0,577.0,SHM,Non-furnished,4,3,2200.0,0,0
2450000,  Balikpapan Selatan,210.0,175.0,HGB,Fully-furnished,3,2,2200.0,0,0
1400000,  Balikpapan Selatan,92.0,150.0,SHM,Non-furnished,2,1,2200.0,0,0
3810000,  Balikpapan Selatan,286.0,84.0,SHM,Non-furnished,0,3,2200.0,0,0
