Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
1400000000," Balikpapan, Balikpapan Barat",Rumah,,230.0,350.0,SHM,
1800000000," Balikpapan, Balikpapan Selatan",Rumah,,100.0,248.0,SHM,
1500000000," Balikpapan, Balikpapan Selatan",Rumah,,200.0,165.0,SHM,
2200000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,350.0,180.0,SHM,Semi-furnished
4400000000," Balikpapan, Balikpapan Baru",Rumah,Secondary,250.0,342.0,SHM,Fully-furnished
1650000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,200.0,530.0,SHM,Semi-furnished
510000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,42.0,87.0,SHM,Non-furnished
1350000000," Balikpapan, Balikpapan Selatan",Rumah,,100.0,120.0,SHM,
1900000000," Balikpapan, Karang Jati",Rumah,Secondary,263.0,283.0,SHM,Fully-furnished
726000000," Balikpapan, Balikpapan Utara",Rumah,,90.0,157.0,SHM,
675000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,110.0,110.0,SHM,Semi-furnished
1150000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,240.0,200.0,SHM,Fully-furnished
1200000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,200.0,150.0,SHM,
2250000000," Balikpapan, Balikpapan Selatan",Rumah,,144.0,138.0,SHM,
800000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,36.0,36.0,SHM,Non-furnished
675000000," Balikpapan, Balikpapan Tengah",Rumah,,145.0,157.0,SHM,
4000000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,300.0,250.0,SHM,Fully-furnished
6500000000," Balikpapan, Balikpapan Tengah",Rumah,,200.0,516.0,SHM,
2250000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,144.0,138.0,SHM,Non-furnished
1200000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,47.0,72.0,PPJB,Non-furnished
2100000000," Balikpapan, Gunung Bahagia",Rumah,Secondary,280.0,144.0,SHM,Non-furnished
1600000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,140.0,200.0,SHM,Semi-furnished
2300000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,243.0,250.0,SHM,Semi-furnished
2530000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,80.0,577.0,SHM,Non-furnished
2450000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,210.0,175.0,HGB,Fully-furnished
1400000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,92.0,150.0,SHM,
3810000000," Balikpapan, Balikpapan Selatan",Rumah,,286.0,84.0,SHM,
1840000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,150.0,150.0,SHM,Semi-furnished
1435000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,170.0,360.0,SHM,Non-furnished
750000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,65.0,230.0,SHM,Non-furnished
6000000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,480.0,240.0,SHM,
970280000," Balikpapan, Balikpapan Utara",Rumah,,47.0,60.0,PPJB,
673000000," Balikpapan, Sumber Rejo",Rumah,,42.0,78.0,SHM,
1320000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,85.0,112.0,SHM,Fully-furnished
925000000," Balikpapan, Balikpapan Utara",Rumah,,77.0,80.0,SHM,
700000000," Balikpapan, Balikpapan Selatan",Rumah,,72.0,90.0,SHM,
800000000," Balikpapan, Balikpapan Selatan",Rumah,,144.0,150.0,SHM,
600000000," Balikpapan, Balikpapan Selatan",Rumah,,195.0,195.0,SHM,
2500000000," Balikpapan, Balikpapan Selatan",Rumah,,450.0,150.0,SHM,
1650000000," Balikpapan, Balikpapan Selatan",Rumah,,95.0,152.0,SHM,
1500000000," Balikpapan, Balikpapan Utara",Rumah,,105.0,154.0,SHM,
1400000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,104.0,150.0,SHM,
1000000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,67.0,160.0,SHM,Non-furnished
1550000000," Balikpapan, Balikpapan Selatan",Rumah,,70.0,140.0,SHM,
827000000," Balikpapan, Balikpapan Selatan",Rumah,Primary,63.0,120.0,SHM,Non-furnished
1650000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,70.0,144.0,SHM,Semi-furnished
1150000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,130.0,150.0,SHM,Semi-furnished
4000000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,210.0,200.0,SHM,Semi-furnished
25000000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,1600.0,1060.0,SHM,Fully-furnished
4800000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,400.0,450.0,SHM,Fully-furnished
2930000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,200.0,220.0,HGB,Non-furnished
2089999999," Balikpapan, Balikpapan Selatan",Rumah,Secondary,268.0,183.0,SHM,Semi-furnished
1000000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,127.0,107.0,HGB,Semi-furnished
698000000," Balikpapan, Balikpapan Tengah",Rumah,Primary,40.0,78.0,SHM,
1800000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,114.0,90.0,SHM,Non-furnished
1200000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,47.0,72.0,PPJB,
